1,"GMEL_year2019_layers1_emb128_multitask(0.5, 0.25, 0.25)",8.890702285455204,4.589437919907175,1.3633896876546696,0.6728031332708719,0.9992805755395684,0.06048096792826669
3,"GMEL_year2019_layers1_emb128_multitask(0.5, 0.25, 0.25)",8.656642803340905,4.394255962511185,1.292194386921595,0.687594465601986,0.9996404171161453,0.05888872655333949
5,"GMEL_year2019_layers1_emb128_multitask(0.5, 0.25, 0.25)",8.554048285102493,4.350489342493968,1.2918646528112638,0.6903367397820473,0.9994605286818917,0.058190804660561174
7,"GMEL_year2019_layers1_emb128_multitask(0.5, 0.25, 0.25)",8.734920951431093,4.391922437134146,1.2943325751480366,0.6880761069646788,0.9998202408772245,0.05942123096211628
9,"GMEL_year2019_layers1_emb128_multitask(0.5, 0.25, 0.25)",8.816484455334804,4.436756018928749,1.3062613546113684,0.6851025568174918,0.9998202408772245,0.05997608473016873
11,"GMEL_year2019_layers1_emb128_multitask(0.5, 0.25, 0.25)",8.946330587957917,4.482364697214773,1.3142302745768073,0.6820518690605433,1.0,0.06085939175481576
13,"GMEL_year2019_layers1_emb128_multitask(0.5, 0.25, 0.25)",8.79783138583747,4.382859261333193,1.2914138649614468,0.6896002619868352,1.0,0.05984919310093518
15,"GMEL_year2019_layers1_emb128_multitask(0.5, 0.25, 0.25)",8.734891355296202,4.305963770250812,1.2592417720994495,0.6953060412650954,0.9996404171161453,0.05942102962786532
20,"GMEL_year2019_layers1_emb128_multitask(0.5, 0.25, 0.25)",8.836510514903834,4.4070402001537134,1.2977065654814903,0.6881088330455046,0.9996404171161453,0.060112316427917235
30,"GMEL_year2019_layers1_emb128_multitask(0.5, 0.25, 0.25)",8.644165587542279,4.360895655866673,1.2981894677666708,0.6915838601500371,0.9998202408772245,0.058803847534301214
50,"GMEL_year2019_layers1_emb128_multitask(0.5, 0.25, 0.25)",8.951658330175563,4.389074310761771,1.2762906432162713,0.6896353431024074,0.9996404171161453,0.06089563489915349
