w_geocode,h_geocode,count
39049009590,39049008340,33
39049007550,39049009900,8
39049000310,39049002770,1
39049000320,39049006387,4
39045032701,39049008811,3
39049009340,39049002780,3
39049007941,39049008825,16
39049006822,39049006353,1
39049005820,39097041100,2
39049005700,39049009372,4
39049006330,39049000320,2
39049001700,39049004700,2
39097040400,39049008120,36
39049008230,39049007114,4
39049007044,39049008311,2
39049006386,39049006392,37
39049006352,39049005700,3
39049010601,39049006430,1
39049008322,39049000410,1
39049008380,39049002510,3
39049009340,39049007931,1
39049006323,39049006323,19
39049001901,39049007730,11
39049010100,39049006950,35
39049004620,39049008120,2
39097040400,39049001200,2
39049006923,39049000810,4
39041011561,39049009390,5
39049009495,39049009321,27
39049009752,39049009590,9
39049007520,39041011423,2
39049001400,39049007205,8
39049009420,39049007730,1
39049009230,39049008311,1
39049001820,39049007710,3
39049007424,39049009340,3
39049009900,39049000220,11
39049004500,39049009323,3
39049010700,39049007512,1
39049004200,39049004820,6
39049007922,39049007047,5
39049008730,39049004620,6
39049007941,39049005610,1
39049006352,39041012400,1
39049008400,39049000710,7
39049001200,39049009361,5
39049009230,39041011423,1
39049007812,39049005300,10
39049006396,39049009752,5
39049007722,39049009000,1
39049004500,39049000600,5
39049008821,39049005500,4
39049000910,39049008720,1
39049002900,39049005500,5
39049007531,39049009334,1
39049006924,39049006396,1
39049005820,39049004620,1
39049005300,39049006100,16
39049009752,39049006396,1
39049007115,39049008811,2
39049007427,39049007424,43
39049007427,39049007710,17
39049007941,39049008322,28
39049007511,39049006000,1
39049006100,39049007532,1
39049003200,39049003600,7
39049006931,39049007710,20
39049000820,39049007533,1
39049008163,39049006384,1
39045032701,39049000600,1
39049007205,39049009373,22
39049006932,39049008720,3
39049006386,39049006722,21
39049008730,39049005610,6
39041011540,39049006950,2
39049006386,39049009340,14
39049008500,39049008163,7
39049006931,39049007394,4
39049009325,39049004810,8
39049009590,39049007114,6
39049008330,39049007550,1
39049007721,39049007820,1
39049000220,39097041100,2
39049008730,39049007044,3
39049000120,39049009372,7
39049005700,39049000120,7
39049009350,39049007112,11
39049006386,39049008110,20
39049007041,39049006395,7
39097041100,39049008311,1
39049005700,39049007740,3
39049005810,39049001902,6
39049001121,39049006394,86
39049004610,39049008312,11
39049006921,39049009361,5
39041011421,39049002710,1
39049008210,39049001902,15
39049008312,39049006323,1
39049002760,39049009372,4
39049007394,39049002770,2
